id,creator_id,name,company_name,department,mode,date_format,budget_status,cost_center,sponsor_id,original_budget,approved_revised_budget,scope_statement,delivery_phase,original_start_date,original_end_date,end_date_type,actual_end_date,approved_revised_end_date,original_implementation_date,actual_implementation_date,overall_gyr_status,urls,close_date,closed_at,created_at,updated_at,deleted_at
1,2,RFP for Xray Co.,ABCompany,Operations,closed,Y-m-d,firm,,,,,"The purpose of this project is to:
1. solve the technical issues within our network
2. design a new application and any hardware required
3. Develop documentation to fully explains how we can service the new build
4. Provide training and training material for our customer support group
5. implement the solution(s) before year end 

We will be managed through the PMO and follow the existing planning and execution process as much as possible.",plan & resource,2022-02-27,2022-06-08,estimate,,2023-07-13,,,yellow,,2022-09-29,2022-09-29 13:59:09,2021-11-23 05:04:23,2022-09-29 13:59:09,
2,2,Virtual Desk Top Install,Rogat Networks,Executive,closed,d-m-Y,firm,COM Expense 344,13.0,124000.0,127887.0,"The purpose of this project is to:
1. solve the technical issues within our network
2. design a new application and any hardware required
3. Develop documentation to fully explains how we can service the new build
4. Provide training and training material for our customer support group
5. implement the solution(s) before year end 

We need to ensure that the schedule does not slip for the year end implementation and we will spend more money if required.

Communication and updates to the sponsor will be monthly or as otherwise needed.

We will be managed through the PMO and follow the existing planning and execution process as much as possible.",planning,2022-03-08,2022-11-18,firm,,2022-12-31,2023-01-04,,green,,2022-10-21,2022-10-21 10:18:39,2021-11-23 05:07:29,2022-10-21 10:18:39,
3,2,Software Development,Traxidy Inc.,Marketing,closed,Y-m-d,firm,TX-007,2.0,,,,execution,2020-09-07,2021-12-10,firm,,2022-08-17,2021-12-13,,green,,2022-01-20,2022-01-20 07:38:51,2021-11-23 05:11:21,2022-01-20 07:38:51,
4,2,Office Move,Malcone,Technical Support,closed,m-d-Y,estimate,,7.0,27000.0,44000.0,"The purpose of this project is to:
1. solve the technical issues within our network
2. design a new application and any hardware required
3. Develop documentation to fully explains how we can service the new build
4. Provide training and training material for our customer support group
5. implement the solution(s) before year end 

We need to ensure that the schedule does not slip for the year end implementation and we will spend more money if required.

Communication and updates to the sponsor will be monthly or as otherwise needed.

We will be managed through the PMO and follow the existing planning and execution process as much as possible.",execute & control,2021-11-03,2022-07-29,firm,,2022-12-30,2023-03-08,,red,,2022-09-29,2022-09-29 13:59:09,2021-11-26 12:01:30,2022-09-29 13:59:09,
5,7,Aram CRM,,IT,open,Y-m-d,firm,,,10000.0,,,,2022-01-11,2022-02-23,firm,,,2022-03-22,,green,,,,2022-01-10 01:05:21,2022-01-10 01:05:21,
6,25,Edge Tower A,Primo Mechanical Inc,,open,Y-m-d,estimate,,14.0,35000.0,,"VISO, FLFL, Riser",,2021-08-25,2021-12-22,estimate,,,2022-01-12,,green,,,,2022-01-12 04:25:29,2022-01-12 04:25:29,
7,10,VOIP RFP,Elexicon,IT,open,Y-m-d,estimate,,15.0,,,,initiation,2021-11-22,2022-03-31,estimate,,,,,green,,,,2022-01-12 05:20:16,2022-01-27 10:06:39,2022-01-27 10:06:39
8,10,Extend LAN into Azure,The Traveller Inc,IT,open,Y-m-d,estimate,,16.0,,,"o	Will engage with The Traveller Inc‘s IT team to document the current state of the on-premises Active Directory, authentication and multi-factor authentication configuration
o	Will document the current state of the active Checkpoint firewall configuration and licensing; Microsoft Azure subscriptions and environments;
the proposed architecture for the Local Area Network (LAN) extension and Azure configuration including the instantiation of a single computer node running Windows Server.
o	Present the proposed architecture to The Traveller Inc for approval.
o	Implement the approved architecture in The Traveller Inc on-premises and Azure environments
o	Document the process of a client device in the office connecting to the Azure resources and a remote client connecting to the same resources
o	Demonstrate and walk-through  The Traveller Inc ‘s IT team the steps and procedures to connect to Azure from the office and remote;
serve as validation that the agreed to service has been delivered.",,2021-12-13,2022-02-04,estimate,,,,,green,,,,2022-01-12 06:28:03,2022-01-27 10:06:39,2022-01-27 10:06:39
9,10,HOOP,HOOP,IT,open,Y-m-d,firm,,18.0,,,,,2022-01-12,2022-01-19,firm,,,,,green,,,,2022-01-12 06:58:02,2022-01-27 10:06:39,2022-01-27 10:06:39
10,29,Higher Ground Integration,Skill Samurai,,open,Y-m-d,estimate,,19.0,2500.0,,Secure HGE sublease and integrate them into the retail location and signage.,,2022-01-01,2022-03-31,estimate,,,2022-09-05,,green,,,,2022-01-12 10:39:05,2022-06-07 14:08:27,2022-06-07 14:08:27
